"artistName","msPlayed","genre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"dj snake",66060,"Edm",0.784,0.757,8,-3.912,1,0.0384,0.495,1.18e-06,0.142,0.587,104.996,198286,4
"other",192455,"Edm",0.714,0.883,9,-4.43,1,0.0625,0.00819,0.843,0.231,0.819,126.016,192455,4
"other",97568,"Classical",0.0828,0.012,9,-36.045,0,0.0451,0.9,0.812,0.0875,0.0578,169.895,97667,3
"jp saxe",99339,"Alternative",0.598,0.295,1,-8.553,1,0.0276,0.735,0,0.107,0.314,87.025,225680,4
"other",2787373,"Other",0.497,0.425,2,-8.317,1,0.0325,0.771,1.11e-05,0.109,0.234,148.074,206854,4
"other",27783728,"Other",0.405,0.273,4,-18.285,0,0.0515,0.306,0.448,0.217,0.187,79.91,261346,4
"other",1935875,"Other",0.773,0.528,4,-7.876,0,0.0551,0.694,1e-04,0.478,0.363,96.06,168000,4
"other",6158627,"Alternative",0.792,0.484,4,-9.897,1,0.192,0.477,0,0.106,0.245,96.939,224528,4
"other",40539,"Alternative Rock",0.486,0.881,2,-5.623,0,0.0474,0.0244,0,0.429,0.667,144.997,480707,4
"other",269453,"Other",0.265,0.312,7,-11.689,1,0.0569,0.243,0,0.0893,0.0998,54.747,269453,3
"other",60453,"Other",0.253,0.139,6,-17.067,1,0.0414,0.726,5.01e-05,0.269,0.102,74.369,60453,3
"odesza",300828,"Edm",0.515,0.663,7,-7.896,0,0.0328,0.179,0.668,0.494,0.0756,120.024,234244,4
"yasumu",143378,"Lo-Fi",0.695,0.287,0,-14.608,1,0.0499,0.771,0.904,0.362,0.379,128.028,143379,4
"high school musical cast",1514502,"Pop",0.798,0.904,0,-3.316,0,0.0476,0.0747,6.62e-06,0.0522,0.966,135.008,236400,4
"high school musical cast",832507,"Pop",0.798,0.904,0,-3.316,0,0.0476,0.0747,6.62e-06,0.0522,0.966,135.008,236400,4
"hans zimmer",1670916,"Classical",0.171,0.0325,4,-25.382,0,0.043,0.97,0.87,0.0756,0.0284,70.821,207118,3
"other",372839,"Hollywood",0.44,0.676,6,-7.57,1,0.0582,0.152,0.0201,0.108,0.429,125.013,206438,4
"other",9160154,"Pop",0.571,0.0274,9,-20.274,0,0.0649,0.948,6.43e-06,0.322,0.087,124.209,316556,3
"other",229535,"Other",0.458,0.361,6,-12.066,0,0.0353,0.825,0.913,0.103,0.231,86.966,229536,4
"clean bandit",246584,"Pop",0.808,0.519,5,-8.268,0,0.0403,0.00623,0.136,0.119,0.384,114.977,246584,4
"vampire weekend",1804847,"Classical",0.551,0.819,2,-4.489,1,0.0525,0.0103,0.0437,0.153,0.846,174.917,137760,4
"other",6391884,"Other",0.739,0.625,8,-6.013,1,0.0382,0.0879,0,0.251,0.641,122.976,187317,4
"other",88485,"Other",0.692,0.735,1,-8.691,1,0.0348,0.314,0.959,0.117,0.415,110.007,196673,4
"other",198997,"Edm",0.784,0.913,1,-1.208,1,0.177,0.0114,0.00162,0.0831,0.59,126.054,199048,4
"other",233,"Pop",0.545,0.641,10,-6.398,0,0.0998,0.00453,6.59e-05,0.171,0.464,121.892,215460,4
"other",104821,"R&b",0.617,0.378,9,-8.54,1,0.0315,0.428,9.16e-05,0.11,0.22,141.967,216063,4
"other",155200,"Pop",0.609,0.428,11,-7.796,1,0.0244,0.538,0,0.064,0.627,96.071,155200,4
"other",6890534,"Pop",0.719,0.461,8,-8.191,1,0.0454,0.279,0,0.0875,0.548,123.915,209200,4
"other",468115,"Other",0.605,0.887,1,-2.298,1,0.0448,0.000974,0.919,0.352,0.0759,99.998,131253,4
"other",3734865,"R&b",0.708,0.42,9,-9.478,0,0.121,0.471,0,0.353,0.317,145.981,175827,4
"keshi",171018,"R&b",0.536,0.659,6,-9.732,1,0.0483,0.406,0.004,0.107,0.199,170.035,171020,4
"other",187423,"Canadian Contemporary R&b",0.514,0.749,8,-4.336,1,0.403,0.234,7.98e-05,0.19,0.416,179.623,169240,3
"kute",262699,"Aggressive Phonk",0.627,0.993,1,-1.304,1,0.0714,0.00142,0.254,0.239,0.58,109.975,131455,4
"kute",800336,"Aggressive Phonk",0.656,0.964,6,-2.087,0,0.0964,0.123,0.813,0.78,0.965,114.007,105789,4
"kute",40239,"Aggressive Phonk",0.706,0.933,10,-0.096,1,0.0721,0.11,0.878,0.058,0.761,114.042,120000,4
"other",2540803,"Other",0.464,0.391,6,-9.884,1,0.0384,0.755,9.64e-05,0.105,0.418,106.887,233472,4
"other",27373,"Other",0.613,0.551,9,-8.613,1,0.198,0.113,0,0.266,0.482,110.243,142410,5
"other",57728,"Other",0.328,0.571,1,-6.913,1,0.0395,0.654,1.15e-05,0.27,0.654,186.602,313748,1
"other",1793602,"Desi Pop",0.581,0.304,1,-9.707,0,0.0274,0.886,2.79e-05,0.103,0.0973,109.006,241206,4
"other",76002,"Desi Pop",0.307,0.265,1,-14.701,0,0.0497,0.561,0.000517,0.398,0.0569,94.115,217976,1
"other",2400332,"Hip Hop",0.639,0.594,10,-6.497,1,0.0347,0.131,0,0.119,0.378,80.034,232067,4
"other",205800,"Bollywood",0.556,0.792,9,-10.683,1,0.0715,0.858,0.007,0.596,0.776,98.554,309493,4
"jatin-lalit",173287,"Pop",0.792,0.635,7,-13.94,0,0.0863,0.349,5.92e-06,0.324,0.648,122.004,422713,4
"other",333653,"Filmi",0.69,0.78,8,-7.412,0,0.0489,0.117,0,0.0696,0.718,110.963,333653,4
"arijit singh",58231,"Filmi",0.549,0.437,10,-7.169,0,0.0263,0.766,0.000407,0.133,0.236,93.976,214470,4
"kk",210952,"Filmi",0.561,0.709,9,-10.247,1,0.0484,0.232,0,0.0992,0.509,115.006,260142,4
"kk",85681,"Filmi",0.417,0.134,9,-12.096,1,0.0321,0.979,9.61e-05,0.101,0.381,83.176,72292,4
"arijit singh",2166765,"Filmi",0.616,0.757,8,-5.877,0,0.0337,0.393,0.00267,0.165,0.538,96.976,302658,4
"kk",173573,"Filmi",0.558,0.746,7,-6.338,0,0.0389,0.0852,0.000302,0.258,0.342,120.096,257280,4
"sonu nigam",10264,"Filmi",0.68,0.524,5,-12.536,1,0.0306,0.161,0.0015,0.101,0.577,100.054,385253,4
"kk",342664,"Filmi",0.566,0.634,2,-5.551,1,0.0443,0.145,0.000716,0.0814,0.36,143.89,342669,4
"other",745640,"Filmi",0.334,0.387,2,-9.483,1,0.0332,0.755,3.94e-05,0.113,0.42,129.959,364787,1
"other",255026,"Chutney",0.569,0.31,3,-13.287,1,0.0371,0.79,0,0.341,0.587,97.244,258387,3
"other",790321,"Metropopolis",0.636,0.758,0,-5.567,1,0.0427,0.331,1.01e-05,0.16,0.281,97.025,214107,4
"other",252203,"Rap",0.727,0.486,8,-8.364,1,0.0325,0.568,0,0.0889,0.362,118.038,252203,4
"lund",369832,"Hip Hop",0.577,0.553,4,-7.648,0,0.0479,0.1,0,0.21,0.0546,145.974,174247,4
"other",18983,"Filmi",0.611,0.512,11,-12.533,0,0.0361,0.3,0.000851,0.219,0.263,99.987,393220,1
"michiel schrey",112503,"Shanty",0.516,0.482,7,-6.04,1,0.0421,0.579,0,0.307,0.368,170.178,113973,4
"other",1067034,"Other",0.574,0.647,9,-6.497,0,0.0618,0.428,0,0.124,0.294,145.033,189103,4
"lauv",80290,"Pop",0.651,0.688,6,-4.407,1,0.109,0.354,2.57e-06,0.0741,0.616,95.017,206368,4
"other",124173,"Lo-Fi",0.587,0.0548,6,-22.15,0,0.0345,0.616,0.827,0.0999,0.233,109.905,124174,4
"sasha alex sloan",367079,"Alternative",0.607,0.849,8,-6.389,1,0.0444,0.174,2.03e-05,0.0964,0.487,89.988,184253,4
"fiji blue",174949,"Chill Pop",0.827,0.49,10,-8.37,0,0.055,0.321,0.000137,0.095,0.836,113.002,174211,4
"pritam",225637,"Filmi",0.84,0.884,0,-3.217,1,0.334,0.427,0,0.0885,0.972,118.007,224207,4
"the neighbourhood",764280,"Alternative Rock",0.464,0.701,6,-5.693,0,0.0411,0.00892,0.309,0.335,0.356,83.996,251187,4
"hans zimmer",1311152,"Classical",0.245,0.00336,9,-38.793,0,0.0451,0.92,0.0234,0.119,0.0505,119.949,152673,3
"other",2318675,"Rock",0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,295893,4
"other",1954901,"Other",0.501,0.556,5,-5.628,1,0.0266,0.361,0.000133,0.115,0.165,82.017,208715,4
"other",178438,"Brostep",0.418,0.965,10,-2.417,0,0.163,0.0477,3.88e-06,0.561,0.28,139.759,178519,4
"other",292600,"Other",0.653,0.783,10,-3.859,1,0.0298,0.00949,0,0.0791,0.636,119.992,292760,4
"earth, wind & fire",278002,"Disco",0.424,0.443,6,-13.45,1,0.0382,0.532,0.000389,0.673,0.391,131.675,278040,4
"ed sheeran",34603,"Pop",0.641,0.324,11,-5.851,1,0.0299,0.698,0,0.328,0.273,110.184,185487,4
"other",372000,"Other",0.659,0.273,11,-6.352,1,0.0285,0.823,0,0.121,0.292,110.171,186000,4
"ewan j phillips",227777,"British Singer-Songwriter",0.342,0.279,1,-11.252,1,0.0376,0.521,0.00053,0.157,0.235,71.766,227778,1
"sasha alex sloan",397451,"Alternative",0.62,0.553,2,-10.228,0,0.0517,0.778,0.00191,0.0916,0.632,148.978,194375,4
"fly by midnight",3216667,"Pop",0.728,0.694,1,-5.634,1,0.0645,0.188,0.000876,0.149,0.574,101.985,169412,4
"radwimps",1496410,"Japanese Pop",0.2,0.318,5,-11.267,1,0.0449,0.925,0.894,0.114,0.0465,119.593,143253,4
"other",341076,"Filmi",0.654,0.408,3,-12.787,1,0.0695,0.743,0.0145,0.278,0.424,95.957,261060,4
"pritam",27455,"Filmi",0.658,0.852,0,-3.07,1,0.044,0.000223,0.863,0.101,0.409,140.024,277950,4
"other",2440,"Other",0.897,0.728,0,-5.833,0,0.167,0.594,0,0.0735,0.678,139.895,138121,4
